num_agents,graph,difficulty,prob_successful_convergence,prob_unsuccessful_convergence,prob_polarization,update_type,m,avg_time_to_convergence
6,wheel,0.1,0.0669,0.0181,0.915,"Jeffrey, anti-updating",2.0,1.6315
6,wheel,0.1,0.0765,0.0179,0.9056,Jeffrey,2.0,1.5758
6,wheel,0.1,0.0326,0.0138,0.9536,"Jeffrey, anti-updating",2.5,1.4744
6,wheel,0.1,0.0291,0.0074,0.9635,Jeffrey,2.5,1.511
6,complete,0.2,0.9946,0.0054,0.0,"Jeffrey, anti-updating",0.0,1.0102
6,complete,0.2,0.9894,0.0106,0.0,Jeffrey,0.0,1.0153
6,complete,0.2,0.9868,0.0132,0.0,"Jeffrey, anti-updating",1.0,1.8658
6,complete,0.2,0.9852,0.0148,0.0,Jeffrey,1.0,1.8535
6,complete,0.2,0.8517,0.0179,0.1304,"Jeffrey, anti-updating",1.1,1.9831
6,complete,0.2,0.8869,0.0165,0.0966,Jeffrey,1.1,2.009
6,complete,0.2,0.4339,0.0075,0.5586,"Jeffrey, anti-updating",1.5,1.9871
6,complete,0.2,0.3917,0.0329,0.5754,Jeffrey,1.5,1.9696
6,complete,0.2,0.1079,0.023,0.8691,"Jeffrey, anti-updating",2.0,1.5524
6,complete,0.2,0.1193,0.0158,0.8649,Jeffrey,2.0,1.5195
6,complete,0.2,0.0842,0.0255,0.8903,"Jeffrey, anti-updating",2.5,1.4343
6,complete,0.2,0.0875,0.0216,0.8909,Jeffrey,2.5,1.4196
6,wheel,0.2,0.9818,0.0182,0.0,"Jeffrey, anti-updating",0.0,1.1881
6,wheel,0.2,0.9854,0.0146,0.0,Jeffrey,0.0,1.1638
6,wheel,0.2,0.9892,0.0108,0.0,"Jeffrey, anti-updating",1.0,2.5999
6,wheel,0.2,0.9865,0.0135,0.0,Jeffrey,1.0,2.5764
6,wheel,0.2,0.8402,0.0214,0.1384,"Jeffrey, anti-updating",1.1,2.7059
6,wheel,0.2,0.8521,0.0212,0.1267,Jeffrey,1.1,2.7722
6,wheel,0.2,0.3126,0.0262,0.6612,"Jeffrey, anti-updating",1.5,2.1046
6,wheel,0.2,0.3289,0.0264,0.6447,Jeffrey,1.5,2.0558
6,wheel,0.2,0.0667,0.0221,0.9112,"Jeffrey, anti-updating",2.0,1.5102
6,wheel,0.2,0.0585,0.0216,0.9199,Jeffrey,2.0,1.513
6,wheel,0.2,0.0421,0.025,0.9329,"Jeffrey, anti-updating",2.5,1.3379
6,wheel,0.2,0.0601,0.0206,0.9193,Jeffrey,2.5,1.3686
10,complete,0.05,0.9679,0.0321,0.0,"Jeffrey, anti-updating",0.0,2.0623
10,complete,0.05,0.9811,0.0189,0.0,Jeffrey,0.0,2.0267
10,complete,0.05,0.9806,0.0194,0.0,"Jeffrey, anti-updating",1.0,4.7214
10,complete,0.05,0.9942,0.0058,0.0,Jeffrey,1.0,4.5409
10,complete,0.05,0.5351,0.0177,0.4472,"Jeffrey, anti-updating",1.1,3.6578
10,complete,0.05,0.5985,0.0144,0.3871,Jeffrey,1.1,3.6622
10,complete,0.05,0.1321,0.0091,0.8588,"Jeffrey, anti-updating",1.5,3.0182
10,complete,0.05,0.1214,0.004,0.8746,Jeffrey,1.5,2.9233
10,complete,0.05,0.017,0.0119,0.9711,"Jeffrey, anti-updating",2.0,2.3889
10,complete,0.05,0.0123,0.0053,0.9824,Jeffrey,2.0,2.4663
10,complete,0.05,0.0053,0.0111,0.9836,"Jeffrey, anti-updating",2.5,2.5324
10,complete,0.05,0.0087,0.0088,0.9825,Jeffrey,2.5,2.4527
10,wheel,0.05,0.9837,0.0163,0.0,"Jeffrey, anti-updating",0.0,4.8785
10,wheel,0.05,0.9939,0.0061,0.0,Jeffrey,0.0,4.6561
10,wheel,0.05,0.9939,0.0057,0.0,"Jeffrey, anti-updating",1.0,13.3904
10,wheel,0.05,0.9917,0.0005,0.0,Jeffrey,1.0,12.4356
10,wheel,0.05,0.3576,0.0042,0.6382,"Jeffrey, anti-updating",1.1,5.9967
10,wheel,0.05,0.3713,0.0057,0.623,Jeffrey,1.1,6.3488
10,wheel,0.05,0.0234,0.0076,0.969,"Jeffrey, anti-updating",1.5,3.8846
10,wheel,0.05,0.0292,0.009,0.9618,Jeffrey,1.5,3.8307
10,wheel,0.05,0.0027,0.0044,0.9929,"Jeffrey, anti-updating",2.0,3.2131
10,wheel,0.05,0.0008,0.0073,0.9919,Jeffrey,2.0,3.1443
10,wheel,0.05,0.0,0.0093,0.9907,"Jeffrey, anti-updating",2.5,2.9566
10,wheel,0.05,0.0,0.0104,0.9896,Jeffrey,2.5,3.0056
10,complete,0.1,0.9985,0.0015,0.0,"Jeffrey, anti-updating",0.0,1.077
10,complete,0.1,0.9969,0.0031,0.0,Jeffrey,0.0,1.0681
10,complete,0.1,0.9981,0.0019,0.0,"Jeffrey, anti-updating",1.0,1.9515
10,complete,0.1,0.9964,0.0036,0.0,Jeffrey,1.0,1.9355
10,complete,0.1,0.822,0.0057,0.1723,"Jeffrey, anti-updating",1.1,1.9968
10,complete,0.1,0.8101,0.0037,0.1862,Jeffrey,1.1,1.9697
10,complete,0.1,0.225,0.0001,0.7749,"Jeffrey, anti-updating",1.5,2.1076
10,complete,0.1,0.2273,0.0,0.7727,Jeffrey,1.5,2.1418
10,complete,0.1,0.0416,0.0005,0.9579,"Jeffrey, anti-updating",2.0,1.8583
10,complete,0.1,0.0521,0.0,0.9479,Jeffrey,2.0,1.8875
10,complete,0.1,0.0191,0.0025,0.9784,"Jeffrey, anti-updating",2.5,1.7981
10,complete,0.1,0.0178,0.0026,0.9796,Jeffrey,2.5,1.7757
10,wheel,0.1,0.9968,0.0032,0.0,"Jeffrey, anti-updating",0.0,1.9694
10,wheel,0.1,0.9974,0.0026,0.0,Jeffrey,0.0,1.9663
10,wheel,0.1,0.9968,0.0032,0.0,"Jeffrey, anti-updating",1.0,4.2375
10,wheel,0.1,0.9961,0.0039,0.0,Jeffrey,1.0,4.2195
10,wheel,0.1,0.5788,0.0021,0.4191,"Jeffrey, anti-updating",1.1,3.5902
10,wheel,0.1,0.5833,0.0,0.4167,Jeffrey,1.1,3.6037
10,wheel,0.1,0.0946,0.0,0.9054,"Jeffrey, anti-updating",1.5,2.573
10,wheel,0.1,0.0891,0.0,0.9109,Jeffrey,1.5,2.6064
10,wheel,0.1,0.0068,0.0,0.9932,"Jeffrey, anti-updating",2.0,1.8792
10,wheel,0.1,0.0075,0.0,0.9925,Jeffrey,2.0,1.8354
10,wheel,0.1,0.0005,0.002,0.9975,"Jeffrey, anti-updating",2.5,1.773
10,wheel,0.1,0.0006,0.0028,0.9966,Jeffrey,2.5,1.7892
10,complete,0.2,0.9998,0.0002,0.0,"Jeffrey, anti-updating",0.0,1.0029
10,complete,0.2,0.9999,0.0001,0.0,Jeffrey,0.0,1.0029
10,complete,0.2,0.9999,0.0001,0.0,"Jeffrey, anti-updating",1.0,1.5486
10,complete,0.2,1.0,0.0,0.0,Jeffrey,1.0,1.5277
10,complete,0.2,0.8662,0.0001,0.1337,"Jeffrey, anti-updating",1.1,1.7706
10,complete,0.2,0.8743,0.0,0.1257,Jeffrey,1.1,1.7828
10,complete,0.2,0.3455,0.0052,0.6493,"Jeffrey, anti-updating",1.5,1.9459
10,complete,0.2,0.3416,0.0078,0.6506,Jeffrey,1.5,1.9467
10,complete,0.2,0.0707,0.0003,0.929,"Jeffrey, anti-updating",2.0,1.8255
10,complete,0.2,0.0618,0.0,0.9382,Jeffrey,2.0,1.8145
10,complete,0.2,0.0277,0.0001,0.9722,"Jeffrey, anti-updating",2.5,1.7021
10,complete,0.2,0.0239,0.0,0.9761,Jeffrey,2.5,1.6909
10,wheel,0.2,0.998,0.002,0.0,"Jeffrey, anti-updating",0.0,1.2564
10,wheel,0.2,0.9972,0.0028,0.0,Jeffrey,0.0,1.2692
10,wheel,0.2,0.9998,0.0002,0.0,"Jeffrey, anti-updating",1.0,2.9943
10,wheel,0.2,1.0,0.0,0.0,Jeffrey,1.0,3.0329
10,wheel,0.2,0.7919,0.0,0.2081,"Jeffrey, anti-updating",1.1,3.2856
10,wheel,0.2,0.7767,0.0,0.2233,Jeffrey,1.1,3.2681
10,wheel,0.2,0.1257,0.002,0.8723,"Jeffrey, anti-updating",1.5,2.4604
10,wheel,0.2,0.1208,0.0025,0.8767,Jeffrey,1.5,2.4431
10,wheel,0.2,0.0255,0.0003,0.9742,"Jeffrey, anti-updating",2.0,1.721
10,wheel,0.2,0.0227,0.0012,0.9761,Jeffrey,2.0,1.7207
10,wheel,0.2,0.0136,0.0002,0.9862,"Jeffrey, anti-updating",2.5,1.5353
10,wheel,0.2,0.0119,0.0,0.9881,Jeffrey,2.5,1.5542
20,complete,0.05,0.9937,0.0063,0.0,"Jeffrey, anti-updating",0.0,1.378
20,complete,0.05,0.9918,0.0082,0.0,Jeffrey,0.0,1.3854
20,complete,0.05,0.9998,0.0002,0.0,"Jeffrey, anti-updating",1.0,3.178
20,complete,0.05,0.9994,0.0006,0.0,Jeffrey,1.0,2.8491
20,complete,0.05,0.5374,0.0,0.4626,"Jeffrey, anti-updating",1.1,2.56
20,complete,0.05,0.536,0.0,0.464,Jeffrey,1.1,2.5528
20,complete,0.05,0.0403,0.0,0.9597,"Jeffrey, anti-updating",1.5,2.7596
20,complete,0.05,0.0336,0.0,0.9664,Jeffrey,1.5,2.6273
20,complete,0.05,0.0014,0.0,0.9986,"Jeffrey, anti-updating",2.0,2.4133
20,complete,0.05,0.0,0.0,1.0,Jeffrey,2.0,2.3554
20,complete,0.05,0.0,0.0,1.0,"Jeffrey, anti-updating",2.5,2.2806
20,complete,0.05,0.0,0.0,1.0,Jeffrey,2.5,2.3253
20,wheel,0.05,1.0,0.0,0.0,"Jeffrey, anti-updating",0.0,5.5936
20,wheel,0.05,1.0,0.0,0.0,Jeffrey,0.0,5.3889
20,wheel,0.05,0.9981,0.0,0.0,"Jeffrey, anti-updating",1.0,23.4849
20,wheel,0.05,0.9994,0.0,0.0,Jeffrey,1.0,20.2052
20,wheel,0.05,0.1654,0.0,0.8346,"Jeffrey, anti-updating",1.1,7.3472
20,wheel,0.05,0.1741,0.0,0.8259,Jeffrey,1.1,7.506
20,wheel,0.05,0.0,0.0,1.0,"Jeffrey, anti-updating",1.5,5.1308
20,wheel,0.05,0.0,0.0,1.0,Jeffrey,1.5,5.1586
20,wheel,0.05,0.0,0.0008,0.9992,"Jeffrey, anti-updating",2.0,4.0067
20,wheel,0.05,0.0,0.0,1.0,Jeffrey,2.0,3.9875
20,wheel,0.05,0.0,0.0,1.0,"Jeffrey, anti-updating",2.5,3.7565
20,wheel,0.05,0.0,0.0,1.0,Jeffrey,2.5,3.709
20,complete,0.1,1.0,0.0,0.0,"Jeffrey, anti-updating",0.0,1.0004
20,complete,0.1,1.0,0.0,0.0,Jeffrey,0.0,1.0011
20,complete,0.1,1.0,0.0,0.0,"Jeffrey, anti-updating",1.0,1.3526
20,complete,0.1,1.0,0.0,0.0,Jeffrey,1.0,1.3957
20,complete,0.1,0.7579,0.0,0.2421,"Jeffrey, anti-updating",1.1,1.6327
20,complete,0.1,0.7472,0.0,0.2528,Jeffrey,1.1,1.6338
20,complete,0.1,0.2112,0.0,0.7888,"Jeffrey, anti-updating",1.5,1.915
20,complete,0.1,0.1912,0.0,0.8088,Jeffrey,1.5,1.9691
20,complete,0.1,0.0209,0.0,0.9791,"Jeffrey, anti-updating",2.0,2.0085
20,complete,0.1,0.0212,0.0,0.9788,Jeffrey,2.0,1.9916
20,complete,0.1,0.0003,0.0,0.9997,"Jeffrey, anti-updating",2.5,1.9627
20,complete,0.1,0.0001,0.0,0.9999,Jeffrey,2.5,1.9708
20,wheel,0.1,1.0,0.0,0.0,"Jeffrey, anti-updating",0.0,2.2666
20,wheel,0.1,1.0,0.0,0.0,Jeffrey,0.0,2.2448
20,wheel,0.1,1.0,0.0,0.0,"Jeffrey, anti-updating",1.0,5.3796
20,wheel,0.1,1.0,0.0,0.0,Jeffrey,1.0,5.1656
20,wheel,0.1,0.3941,0.0,0.6059,"Jeffrey, anti-updating",1.1,4.5395
20,wheel,0.1,0.4311,0.0,0.5689,Jeffrey,1.1,4.5685
20,wheel,0.1,0.0041,0.0,0.9959,"Jeffrey, anti-updating",1.5,3.3785
20,wheel,0.1,0.0009,0.0,0.9991,Jeffrey,1.5,3.379
20,wheel,0.1,0.0,0.0,1.0,"Jeffrey, anti-updating",2.0,2.2408
20,wheel,0.1,0.0,0.0,1.0,Jeffrey,2.0,2.2116
20,wheel,0.1,0.0,0.0,1.0,"Jeffrey, anti-updating",2.5,2.0398
20,wheel,0.1,0.0,0.0,1.0,Jeffrey,2.5,2.0276
20,complete,0.2,1.0,0.0,0.0,"Jeffrey, anti-updating",0.0,1.0
20,complete,0.2,1.0,0.0,0.0,Jeffrey,0.0,1.0
20,complete,0.2,1.0,0.0,0.0,"Jeffrey, anti-updating",1.0,1.1267
20,complete,0.2,1.0,0.0,0.0,Jeffrey,1.0,1.102
20,complete,0.2,0.8399,0.0,0.1601,"Jeffrey, anti-updating",1.1,1.4574
20,complete,0.2,0.8552,0.0,0.1448,Jeffrey,1.1,1.4335
20,complete,0.2,0.3376,0.0,0.6624,"Jeffrey, anti-updating",1.5,1.7837
20,complete,0.2,0.3193,0.0,0.6807,Jeffrey,1.5,1.7683
20,complete,0.2,0.0467,0.0,0.9533,"Jeffrey, anti-updating",2.0,1.956
20,complete,0.2,0.0456,0.0,0.9544,Jeffrey,2.0,1.9576
20,complete,0.2,0.0072,0.0,0.9928,"Jeffrey, anti-updating",2.5,1.8869
20,complete,0.2,0.0043,0.0,0.9957,Jeffrey,2.5,1.9017
20,wheel,0.2,1.0,0.0,0.0,"Jeffrey, anti-updating",0.0,1.4305
20,wheel,0.2,1.0,0.0,0.0,Jeffrey,0.0,1.4196
20,wheel,0.2,1.0,0.0,0.0,"Jeffrey, anti-updating",1.0,3.4121
20,wheel,0.2,1.0,0.0,0.0,Jeffrey,1.0,3.369
20,wheel,0.2,0.7178,0.0,0.2822,"Jeffrey, anti-updating",1.1,3.9741
20,wheel,0.2,0.7132,0.0,0.2868,Jeffrey,1.1,4.0055
20,wheel,0.2,0.0223,0.0,0.9777,"Jeffrey, anti-updating",1.5,3.3447
20,wheel,0.2,0.0202,0.0,0.9798,Jeffrey,1.5,3.3838
20,wheel,0.2,0.0015,0.0,0.9985,"Jeffrey, anti-updating",2.0,2.0254
20,wheel,0.2,0.0005,0.0,0.9995,Jeffrey,2.0,2.0189
20,wheel,0.2,0.0,0.0,1.0,"Jeffrey, anti-updating",2.5,1.7687
20,wheel,0.2,0.0,0.0,1.0,Jeffrey,2.5,1.7819
