id,x,y
257,-0.28895,0.67328
258,-0.48499,0.59159
259,-0.46757,0.57788
260,-0.4669,0.56588
261,-0.49436,0.54278
262,-0.54574,-0.18277
263,-0.29065,0.65873
264,-0.48972,0.56987
265,-0.26303,0.66698
266,-0.21882,0.45165
267,-0.49751,0.596
268,-0.20521,0.43604
269,-0.15097,0.44493
270,-0.45435,0.56184
271,-0.67655,0.40147
272,-0.685,-0.03109
273,-0.48421,0.55721
274,-0.25101,0.63077
275,-0.47272,0.55333
276,-0.29228,0.6398
277,-0.60514,0.1668
278,-0.46512,0.53711
279,-0.40961,0.02648
280,-0.16174,0.19394
281,-0.42027,0.50532
282,-0.20063,0.43181
283,-0.48764,0.55816
284,-0.21384,0.45115
285,-0.66012,0.40424
286,-0.25655,0.63026
287,-0.41926,0.31644
288,-0.68296,0.42605
289,-0.38674,0.05132
290,-0.71527,-0.04044
291,-0.39503,0.34214
292,-0.17013,0.46116
293,-0.47206,0.57052
294,-0.47859,0.5843
295,-0.1812,0.41864
296,-0.39887,0.35892
297,-0.37077,0.04035
298,-0.47984,0.52604
299,-0.14291,0.4518
300,-0.65497,0.39289
301,-0.53789,-0.19512
302,-0.60633,0.15971
303,-0.41021,0.00721
304,-0.7048,-0.03878
305,-0.6755,0.3963
306,-0.72685,-0.04218
307,-0.33783,-0.04339
308,-0.51125,-0.1367
309,-0.42078,0.31141
310,-0.54863,-0.17387
311,-0.43727,0.47764
312,-0.80429,0.18305
313,-0.58742,0.15593
314,-0.66496,0.40839
315,-0.40903,0.04993
316,-0.39388,0.00923
317,-0.41343,0.35239
318,-0.54375,-0.18034
319,-0.80248,0.18438
320,-0.67681,0.39648
321,-0.41185,0.0514
322,-0.56746,-0.20829
323,-0.58216,0.15017
324,-0.75581,0.17274
325,-0.55731,-0.1951
326,-0.71098,-0.03589
327,-0.7865,0.18052
328,-0.66861,-0.0285
329,-0.81084,0.18171
330,-0.18645,-0.66203
331,0.52587,-0.20087
332,-0.37102,-0.67269
333,0.00684,-0.68141
334,0.45579,-0.19861
335,-0.01299,-0.66206
336,0.43423,-0.19259
337,-0.00453,-0.70816
338,0.58965,4e-05
339,0.18529,-0.54485
340,0.5285,-0.20409
341,-0.18339,-0.69898
342,0.60189,0.23372
343,-0.21037,-0.75959
344,-0.17194,-0.78305
345,0.02865,-0.76771
346,0.33759,-0.39518
347,-0.22117,-0.71439
348,-0.18743,-0.7664
349,0.00054,-0.73991
350,-0.38993,-0.65976
351,-0.35965,-0.70129
352,0.57897,0.24586
353,0.57617,0.00302
354,-0.18749,-0.6368
355,0.38147,-0.19653
356,0.04284,-0.75898
357,0.57884,-0.00813
358,-0.02728,-0.64654
359,-0.18683,-0.76082
360,0.22356,0.55918
361,0.31958,0.25565
362,0.3905,0.07016
363,0.23194,0.53247
364,0.3695,0.07331
365,0.30767,0.27029
366,0.2197,0.49532
367,0.31314,0.28036
368,0.31659,0.28636
369,0.38267,0.05119
370,0.21999,0.52088
371,0.22194,0.48391
372,0.31735,0.26453
373,0.21935,0.49829
374,0.35401,0.2717
375,0.30753,0.27312
376,0.32278,0.27766
377,0.22196,0.48597
378,0.36945,0.06664
379,0.30885,0.26725
380,0.22672,0.51158
381,0.21838,0.52797
382,0.30655,0.28719
383,0.3967,0.06595
384,0.32382,0.2704
385,0.24194,0.50279
386,0.30601,0.28795
387,0.30824,0.28093
388,0.23212,0.49156
389,0.21827,0.47936
390,0.24156,-0.7158
391,0.23683,-0.74242
392,0.25584,-0.66793
393,0.24545,-0.71842
394,0.40784,-0.45751
395,0.40372,-0.45576
396,0.40747,-0.45952
397,0.38665,-0.42391
398,0.4017,-0.45538
399,0.24345,-0.68583
400,0.38331,-0.41173
401,0.39225,-0.43252
402,0.40376,-0.44785
403,0.39117,-0.4194
404,0.24573,-0.76012
405,0.25483,-0.70284
406,0.41732,-0.48735
407,0.24219,-0.75062
408,0.42116,-0.47956
409,0.39899,-0.44367
410,0.41571,-0.47539
411,0.45729,-0.22564
412,0.24997,-0.68505
413,0.39011,-0.42901
414,0.38,-0.41186
415,0.40124,-0.42986
416,0.4069,-0.45868
417,0.25424,-0.6935
418,0.25392,-0.70005
419,0.2454,-0.69888
420,0.19926,0.74303
421,0.6071,-0.53351
422,0.4096,0.6002
423,0.41966,0.39517
424,-0.22968,-0.62278
425,0.54177,0.01851
426,0.55296,0.25571
427,0.58748,-0.22089
428,-0.40628,-0.66591
429,0.56252,0.23607
430,0.47324,0.45328
431,-0.03642,0.59854
432,0.50199,0.44674
433,0.48238,0.48421
434,0.64168,-0.33439
435,0.44673,0.42616
436,0.70974,0.33928
437,0.43745,0.46618
438,0.62409,-0.56713
439,0.01971,-0.82025
440,0.44122,0.47534
441,0.71492,0.38288
442,0.84167,0.34587
443,0.44829,0.57561
444,-0.36218,-0.65383
445,0.19422,0.76709
446,0.71898,0.35867
447,0.56654,0.03174
448,0.79594,0.33145
449,0.62657,0.25224
450,0.3596,-0.1577
451,0.02357,0.68172
452,0.05486,0.63592
453,-0.44744,-0.53494
454,0.21236,0.51887
455,-0.21349,-0.59428
456,0.38299,-0.15965
457,0.05087,0.50724
458,0.32911,0.07477
459,0.17764,0.49211
460,0.36442,-0.16244
461,0.00163,0.67687
462,0.61189,-0.00214
463,-0.24458,0.62767
464,-0.19855,-0.7449
465,0.55884,0.46115
466,0.13191,0.10251
467,-0.18342,-0.65818
468,0.47397,0.03306
469,-0.23699,-0.51197
470,0.40976,0.45534
471,0.53143,-0.23036
472,0.2325,0.52164
473,0.21789,0.54759
474,0.51767,0.25381
475,0.48709,-0.19826
476,-0.27452,-0.55016
477,-0.07982,-0.39929
478,0.57705,-0.01794
479,0.47039,0.04181
480,-0.26877,0.60475
481,-0.03835,0.52351
482,0.15159,0.12547
483,-0.29668,-0.32935
484,0.34432,0.0686
485,-0.48359,-0.44437
486,-0.16803,0.45023
487,-0.42352,-0.53431
488,0.20257,0.49197
489,-0.25655,0.69737
490,0.06961,0.32114
491,-0.41299,-0.48255
492,0.00778,0.32303
493,0.59809,-0.26988
494,0.21214,-0.0859
495,-0.01031,0.59449
496,-0.51166,-0.19088
497,-0.19836,-0.58726
498,0.02888,0.7134
499,0.14702,-0.30294
500,-0.6561,-0.2497
501,0.04318,0.28838
502,0.04708,0.31087
503,0.13909,0.08095
504,-0.23414,-0.53084
505,-0.14184,0.45558
506,0.1194,-0.30255
507,-0.46853,-0.41955
508,0.04476,0.5473
509,0.10401,0.32082
510,-0.7163,-0.05095
511,-0.19254,0.23859
512,0.1955,-0.10149
513,-0.16537,0.46191
514,-0.15246,0.33864
515,-0.60459,-0.23234
516,0.01118,0.31501
517,-0.61561,-0.23845
518,0.00135,0.32565
519,-0.35857,-0.42793
520,-0.51402,-0.20007
521,0.03221,0.33827
522,-0.05657,0.08074
523,0.30578,-0.12816
524,-0.46797,-0.18555
525,-0.3199,-0.30393
526,-0.27684,0.61023
527,-0.54329,-0.20165
528,-0.06163,0.49827
529,-0.58376,-0.22743
530,-0.15515,0.23028
531,-0.18603,0.24944
532,-0.02436,-0.48058
533,0.1393,-0.08897
534,0.02387,0.29083
535,-0.20299,0.42849
536,-0.04164,0.06785
537,-0.1421,0.45115
538,-0.63591,0.38669
539,-0.17398,-0.12908
540,-0.37457,-0.00599
541,-0.66059,0.38438
542,-0.59234,-0.22281
543,0.00389,0.32685
544,-0.17686,0.33516
545,-0.6209,-0.24425
546,-0.58271,-0.2504
547,-0.13691,0.186
548,-0.13384,0.16877
549,-0.16249,0.19934
550,-0.5216,-0.17867
551,-0.40199,-0.01819
552,-0.4214,0.341
553,-0.11268,0.10822
554,-0.21106,0.23973
555,-0.20609,-0.13941
556,-0.39437,-0.0279
557,0.02335,0.28815
558,-0.12716,0.44318
559,-0.19417,0.43549
560,-0.05367,0.08111
561,-0.36535,-0.01115
562,-0.21783,0.40747
563,-0.00143,0.05392
564,-0.18334,0.43747
565,-0.52221,-0.20243
566,-0.65084,0.38467
567,-0.19807,0.36911
568,-0.41131,0.35531
569,-0.66004,-0.24801
570,-0.62586,0.37025
571,-0.77977,0.1771
572,-0.68997,-0.03493
573,-0.40476,0.00202
574,-0.50928,-0.13685
575,-0.3625,0.28921
576,-0.48143,0.56578
577,-0.58838,-0.22068
578,-0.61454,0.37165
579,-0.61243,0.16601
580,-0.53403,-0.17225
581,-0.40556,0.35274
582,-0.55956,-0.20753
583,-0.40203,0.04283
584,-0.41607,0.33562
585,-0.15815,0.21262
586,-0.52604,-0.16058
587,-0.59747,-0.2291
588,-0.53015,-0.15729
589,-0.4166,0.31966
590,-0.61918,0.37526
591,-0.67353,-0.03084
592,-0.59356,0.15716
593,-0.71364,-0.04567
594,-0.19678,0.22561
595,-0.55412,-0.19787
596,-0.51652,0.55803
597,-0.59018,0.15733
598,-0.41623,0.32054
599,-0.39776,-0.01452
600,-0.37614,0.04
601,-0.72775,-0.04078
602,-0.74578,0.17349
603,-0.71121,0.16732
604,-0.63962,0.38604
605,-0.40538,0.03095
606,-0.64836,0.38579
607,-0.56159,0.15054
608,-0.75496,0.17292
609,-0.69724,-0.03213
610,-0.73114,0.17118
611,-0.70199,-0.03922
612,-0.73847,0.16547
